assets.artemis_id,Custom.metrics,Count of assets.symbol
aave,24H_MC_CHG,1
aave,24H_MC_CHG_PCT,1
aave,24H_PRICE_CHG,1
aave,24H_PRICE_CHG_PCT,1
aave,24H_PRICE_HIGH,1
aave,24H_PRICE_LOW,1
aave,24H_VOLUME,1
aave,30D_PRICE_CHG_PCT,1
aave,30D_VOLUME,1
aave,7D_PRICE_CHG_PCT,1
aave,ATH,1
aave,ATH_CHG_PCT,1
aave,ATH_DATE,1
aave,ATL,1
aave,ATL_CHG_PCT,1
aave,ATL_DATE,1
aave,BORROWS,1
aave,CIRC_SUPPLY,1
aave,CMC,1
aave,DEPOSITS,1
aave,FDMC,1
aave,FDV,1
aave,MAX_SUPPLY,1
aave,MC,1
aave,PRICE,1
aave,TOT_SUPPLY,1
aave,WEEKLY_COMMITS_CORE,1
aave,WEEKLY_COMMITS_SUB,1
aave,WEEKLY_DEVS_CORE,1
aave,WEEKLY_DEVS_SUB,1
acala,24H_MC_CHG,1
acala,24H_MC_CHG_PCT,1
acala,24H_PRICE_CHG,1
acala,24H_PRICE_CHG_PCT,1
acala,24H_PRICE_HIGH,1
acala,24H_PRICE_LOW,1
acala,24H_VOLUME,1
acala,30D_PRICE_CHG_PCT,1
acala,30D_VOLUME,1
acala,7D_PRICE_CHG_PCT,1
acala,ATH,1
acala,ATH_CHG_PCT,1
acala,ATH_DATE,1
acala,ATL,1
acala,ATL_CHG_PCT,1
acala,ATL_DATE,1
acala,CIRC_SUPPLY,1
acala,CMC,1
acala,DAILY_TXNS,1
acala,DAU,1
acala,DEX_VOLUMES,1
acala,FDMC,1
acala,FDV,1
acala,FEES,1
acala,GAS_USD,1
acala,MAX_SUPPLY,1
acala,MC,1
acala,NEW_TWITTER_FOLLOWERS,1
acala,PRICE,1
acala,REVENUE,1
acala,TOT_SUPPLY,1
acala,TVL,1
acala,TWITTER_FOLLOWERS,1
acala,WEEKLY_COMMITS_CORE,1
acala,WEEKLY_COMMITS_SUB,1
acala,WEEKLY_DEVS_CORE,1
acala,WEEKLY_DEVS_SUB,1
across,24H_MC_CHG,1
across,24H_MC_CHG_PCT,1
across,24H_PRICE_CHG,1
across,24H_PRICE_CHG_PCT,1
across,24H_PRICE_HIGH,1
across,24H_PRICE_LOW,1
across,24H_VOLUME,1
across,30D_PRICE_CHG_PCT,1
across,30D_VOLUME,1
across,7D_PRICE_CHG_PCT,1
across,ATH,1
across,ATH_CHG_PCT,1
across,ATH_DATE,1
across,ATL,1
across,ATL_CHG_PCT,1
across,ATL_DATE,1
across,BRIDGE_DAU,1
across,BRIDGE_VOLUME,1
across,CIRC_SUPPLY,1
across,CMC,1
across,FDMC,1
across,FDV,1
across,FEES,1
across,INFLOW,1
across,MAX_SUPPLY,1
across,MC,1
across,OUTFLOW,1
across,PRICE,1
across,TOT_SUPPLY,1
across,TVL,1
across,WEEKLY_COMMITS_CORE,1
across,WEEKLY_DEVS_CORE,1
aevo,TRADING_VOLUME,1
aevo,TVL,1
altcoin,MC,1
aptos,24H_MC_CHG,1
aptos,24H_MC_CHG_PCT,1
aptos,24H_PRICE_CHG,1
aptos,24H_PRICE_CHG_PCT,1
aptos,24H_PRICE_HIGH,1
aptos,24H_PRICE_LOW,1
aptos,24H_VOLUME,1
aptos,30D_PRICE_CHG_PCT,1
aptos,30D_VOLUME,1
aptos,7D_PRICE_CHG_PCT,1
aptos,ATH,1
aptos,ATH_CHG_PCT,1
aptos,ATH_DATE,1
aptos,ATL,1
aptos,ATL_CHG_PCT,1
aptos,ATL_DATE,1
aptos,CIRC_SUPPLY,1
aptos,CMC,1
aptos,DAILY_TXNS,1
